recordId,stoylProductId,productId,productVersion,updateType,feature,featureDescription,functionalArea,setupEffort,newFunctionalityTitle,newFunctionality,trainingAndTestingImpact,publishDate,tentativeProductionDate,documentationCorrected,documentationCorrectedDate,businessProcesses,processTasks,webServicesName,securityDomains,currentName,formerName,retired,featureJira,Feature Opt-In,Adoption Item(s)
1,PR29,WDAY,29,feature release,Workday 29 - Workday Connect,"Workday 29 continues to build on the notification framework, enabling you to schedule content for distribution, including surveys. Workday Connect makes it easier to communicate, collaborate, and share experiences with others across workspaces.

For details, see: Workday Connect What's New Video (https://community.workday.com/articles/327087).","System

Talent Core",Setup Required,Scheduled Distribution Framework,"With Workday 29, we deliver a scheduled distribution framework that enables you to schedule the distribution of single-item notifications such as surveys and reports. We deliver these new tasks (secured to the new Administer Scheduled Distributions domain), enabling you to use this functionality:
* Copy Scheduled Distribution
* Create Scheduled Distribution
* Delete Scheduled Distribution
* Edit Scheduled Distribution
* Manage Scheduled Distributions

We also deliver these new reports (secured to the new Administer Scheduled Distributions domain) that display your scheduled distributions:
* View Scheduled Distribution
* View Scheduled Distributions by Type",,10/20/2017,11/17/2017,,,,"Copy Scheduled Distribution
Create Scheduled Distribution
Delete Scheduled Distribution
Edit Scheduled Distribution
Manage Scheduled Distributions",,Administer Scheduled Distributions,,,,WIRE-12432,,
2,PR29,WDAY,29,feature release,Workday 29 - Authentication Gateway Service,"Workday delivers a new authentication gateway service to process user sign in activity and improve performance.
This service doesn't require any changes to your authentication or Workday configuration.",System,Automatically Available,Customer-Designed Authentication Pages,"We deliver the new authentication gateway service for customer-designed HTML authentication sign in pages in non-Production tenants.

The HTML authentication URL now includes: /wday/authgwy

Note: This change doesn't apply to SAML or OIDC authentication.",,10/20/2017,10/20/2017,,,,,,,,,,AUTHGWY-804,,
3,PR29,WDAY,29,feature release,Workday 29 - Job History Companies,"Workday 29 makes it easier to maintain your companies master list and make company selection values consistent and easily searchable, enabling you to better track work history information for workers and candidates.

For details, see: Job History Companies What's New Video (https://community.workday.com/articles/329547).","Recruiting

Talent Core",Automatically Available,Recognized Job History Companies,"We now enable you to delete companies on the Maintain Job History Companies report whether or not they are in use. When you delete a company from the report, Workday continues to display the deleted company on the worker profile, candidate profile, or internal application.

We now prevent Workday from automatically creating a new recognized job history company when a candidate or worker enters a company on their application. When workers or candidates enter companies that only apply to them, Workday saves the company as unrecognized on the application.

We update the Put Company web service to support these enhancements.",,10/13/2017,11/10/2017,,,,,,,,,,HRTAL-14428,,
4,PR29,WDAY,29,feature release,Workday 29 - Email Analytics,"Workday 29 provides support for the SparkPost REST API integration, enabling you to use email analytics for Workday Learning, Recruiting, and Student campaigns and engagement plans. 

Note: You must maintain a separate license to the SparkPost email service provider to use this functionality.

For details, see: Email Analytics What's New Video (https://community.workday.com/articles/327618).","Learning Core

Recruiting

Student Recruiting

System",Request Professional Services Support,Create Email Delivery Configuration,"Workday 29 adds SparkPost as a new delivery type option on the Create Email Delivery Configuration task, enabling you to customize delivery settings for email notifications that use email analytics.

Workday also renames these fields on the task for clarity:
- SMTP Configuration Name to Delivery Name.
- SMTP Type to Delivery Type.",,10/6/2017,10/6/2017,,,,,,,"Delivery Name
Delivery Type","SMTP Configuration Name
SMTP Type",,WIRE-11759,,
5,PR29,WDAY,29,feature release,Workday 29 - Transaction and Withholding Taxes Reporting,"Workday 29 improves report performance for transaction and withholding taxes by streamlining filtering, security, and search results.",Common Financial Management,Automatically Available,Line Tax Rate Applications Report Data Source,"We deliver a new indexed Line Tax Rate Applications report data source (RDS) (secured to the Reports: Transaction Tax domain) that you can use to create custom reports for transaction and withholding line tax rate applications. You can filter the RDS for these values:
- Transaction Tax Lines
- Withholding Tax Lines

The new RDS replaces these RDSs, which we plan to retire in a future update:
- Transaction Tax Lines
- Withholding Tax",This feature may require additional testing.,9/15/2017,9/22/2017,Yes,9/15/2017,,,,Reports: Transaction Tax (existing),,,,FINTAX-4467,,
6,PR29,WDAY,29,feature release,Workday 29 - Learning Campaigns,We continue to enable you to more easily manage campaigns in Workday Learning.,"Learning Core

System",Setup Required,Campaigns Menu on Learning Admin Dashboard,"Workday adds a new Campaigns menu on the Learning Admin dashboard. You can use the Maintain Dashboards task to configure a link to the Campaigns dashboard on the new menu, for quick access from the Learning Admin dashboard.",,9/15/2017,10/13/2017,,,,,,,,,,LRN-4313,,
7,PR29,WDAY,29,feature release,Workday 29 - Talent Statements,"Workday 29 enables you to update talent statements during talent reviews, helping to ensure talent statements are up to date and reducing duplication of effort.

For details, see: Talent Statements What's New Video (https://community.workday.com/articles/312678).",Talent Core,Setup Required,Manage Talent Statements,"With this update, we improve talent statements by enabling you to rescind Manage Talent Statements business process events.",,9/9/2017,9/9/2017,,8/11/2017,,,,,,,,HRTAL-18310,,
8,PR29,WDAY,29,feature release,Workday 29 - Staffing Business Process Attachments,Workday 29 enables you to include attachments on more staffing business processes and gives you more control over who can view and edit those attachments.,"Jobs & Positions

Staffing",Automatically Available,Position Attachment Document Categories,"With this update, we add a new required Category prompt when you add attachments on these business processes, enabling you to restrict access to position-related documents:
- Create Position
- Edit Position",This feature may impact your training materials.,9/9/2017,9/9/2017,,,,,,,,,,HRCORE-51909,,
9,PR29,WDAY,29,feature release,Workday 29 - Talent Reviews in Onboarding,"Workday 29 enables you to automatically launch talent reviews for workers during onboarding for a more streamlined, time-saving process.

For details, see: Talent Reviews in Onboarding What's New Video (https://community.workday.com/articles/315852).",Talent Core,Setup Required,Start Talent Review During Onboarding,"We deliver a new Start Talent Review During Onboarding step on the Onboarding business process. This enables you to automatically launch talent reviews as part of a hire's onboarding.

To configure security for the step, use the new Start Talent Review During Onboarding initiating action on the Talent Review business process security policy and assign it to the security group responsible for talent reviews in onboarding.",,9/1/2017,9/9/2017,,,,,,,,,,HRTAL-16375,,
10,PR29,WDAY,29,feature release,Workday 29 - Recovery Assistant,"Workday 29 introduces Recovery Assistant, a tool to better protect your work against time-out or connectivity issues.

For details, see: Recovery Assistant What's New Video (https://community.workday.com/articles/317714).",System,Automatically Available,Recovery Assistant for Summary and Guided Editor Tasks,"We now enable you to recover unsaved work on summary and guided editor tasks in non-Production tenants. We introduce a new Recovery Assistant option on the main menu that you can access to recover unsaved work from:
- Performance reviews.
- Tasks in guided and summary editor modes.
- Text formatted in rich text fields.

Workday retains recoverable items for 5 days.",This feature may impact your training materials.,8/25/2017,9/22/2017,Yes,9/1/2017,,,,,,,,UIPLAT-4407,,
11,PR29,WDAY,29,feature release,Workday 29 - Company Relationships,Workday 29 enhances your ability to manage tax reporting for company relationships.,USA Payroll,Automatically Available,Single Legal Entity Periodic and Quarterly Tax Filing,"For single legal entities where you haven't selected either combined or separate tax filing, Workday now assigns these default values:
- For periodic tax filing integrations, we automatically set the Periodic Separate Tax Filing for Each Company attribute to Yes.
- For quarterly tax filing integrations, we automatically set the Quarterly Combined Tax Filing for All Companies attribute to Yes.",This feature may impact your training materials.,8/25/2017,9/9/2017,,,,,,,,,,PAYWDUSA-15900,,
12,PR29,WDAY,29,feature release,Workday 29 - Canada Payroll - Miscellaneous Enhancements,,CAN Payroll,Automatically Available,T4A Form Amounts Less Than Zero,"We now display an exception message when these report fields contain negative amounts, helping you comply with Canadian tax laws: 
- 016 - Pension or superannuation
- 018 - Lump-sum payments
- 020 - Self-employed commissions
- 022 - Income tax deducted
- 024 - Annuities
- 048 - Fees for services

The updated report fields are on these reports: 
- T4A Correction Preview
- T4A Preview
- View T4A Form Data
- View T4A Form Data - Other Info",This feature may impact your training materials.,8/25/2017,10/20/2017,,,,,,,,,,PAYWDCAN-7020,,
13,PR29,WDAY,29,feature release,Workday 29 - Academic Appointments,"Workday 29 enables you to track more details about your academic appointees, giving you greater insight into your academic faculty.",Academic Faculty,Automatically Available,Appointment Start Date,"We update the Start Date field on the Add Academic Appointment task so that you can now select an appointment start date after a worker’s earliest hire date, based on the worker’s:
- Hire Date
- Original Hire Date

We also now enable you to configure an appointment Start Date based on the earliest hire date using the Academic Appointment web service.",This feature may impact your training materials.,8/25/2017,9/9/2017,Yes,9/1/2017,,,,,,,,HRINFRA-2321,,
14,PR29,WDAY,29,feature release,Workday 29 - Reporting and Analytics - Miscellaneous Enhancements,,System,Automatically Available,Data Source Filter Report Field,"Workday delivers a new Data Source Filter report field on the Report Definition business object (secured to the Public Reporting Items domain), enabling you to identify the data source filter selected in a report definition.",This feature may impact your training materials.,8/25/2017,8/25/2017,Yes,9/1/2017,,,,Public Reporting Items (existing),,,,OMSBI-35776,,
15,PR29,WDAY,29,feature release,Workday 29 - Workday Connect,"Workday 29 continues to build on the notification framework, enabling you to schedule content for distribution, including surveys. Workday Connect makes it easier to communicate, collaborate, and share experiences with others across workspaces.

For details, see: Workday Connect What's New Video (https://community.workday.com/articles/327087).","Learning Core

Recruiting

System",Automatically Available,Create Notification SMTP Configuration,"We rename the Create Notification SMTP Configuration task to Create Email Delivery Configuration. We also update the task to enable you to customize the sender email address for notifications.

We add a new:
- From Mailbox field that enables you to specify the local-part of the sender email address.
- Sending Domain Override prompt, when you select the Customer SMTP type, that enables you to select or create a domain for the sender email address.

We automatically populate the From Address report field with your changes.",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,Create Email Delivery Configuration,Create Notification SMTP Configuration,,WIRE-13135,,
16,PR29,WDAY,29,feature release,Workday 29 - USA Payroll - Miscellaneous Enhancements,,USA Payroll,Automatically Available,WA: Washington Industrial Insurance Fund (ER) [USA],We rename the WA: Washington Industrial Insurance Fund (ER) [USA] workers compensation deduction to WA: Washington Industrial Insurance (Accident) Fund (ER) [USA] for clarity and consistency.,This feature may impact your training materials.,8/18/2017,8/18/2017,,,,,,,WA: Washington Industrial Insurance (Accident) Fund (ER) [USA],WA: Washington Industrial Insurance Fund (ER) [USA],,PAYWDUSA-12778,,
17,PR29,WDAY,29,feature release,Workday 29 - Report Performance,"Workday 29 improves report performance by optimizing query processing and enhancing pagination.

For details, see: Report Performance What's New Video (https://community.workday.com/articles/314354).",System,Automatically Available,Increasing Instance Reporting Limit,"Workday enhances report processing by increasing the number of instances that can be processed in your report. We now apply a limit of 3 million instances after you apply filters.

Note: If your report displays an error, you can apply more filters to resolve the issue.",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,OMSBI-34454,,
18,PR29,WDAY,29,feature release,Workday 29 - Multiple NSF Codes on an Award,"With Workday 29, you can enter multiple National Science Foundation (NSF) codes on a single award, enabling you to more accurately report on an award that funds research for multiple disciplines.

For details, see: Multiple NSF Codes on an Award What's New Video (https://community.workday.com/articles/313553).",Grants Management,Automatically Available,Awards Web Services,"We update these web services to support multiple NSF codes on awards:
- Correct Award
- Submit Award
- Submit Award Amendment",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,FINGRT-13938,,
19,PR29,WDAY,29,feature release,Workday 29 - Planning - Miscellaneous Enhancements,,Planning,Automatically Available,Hierarchy View,"We update the Hierarchy View on your Planning Process Control Inbox items during decentralized planning to now support outlining for an unlimited number of hierarchy levels, enhancing performance for large planning organization hierarchies.

We also now display the number of organizations under each hierarchy level next to the hierarchy level names for greater visibility into your organization structure.

For details, see: Planning - Miscellaneous Enhancements What's New Video (https://community.workday.com/articles/313701).",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,FINPLAN-7427,,
20,PR29,WDAY,29,feature release,Workday 29 - E-Verify Integration,"With Workday 29, we make it easier for you to manage E-Verify integrations.

For details, see: E-Verify Integration What's New Video (https://community.workday.com/articles/315824).",Integration,Automatically Available,E-Verify Integration Account Details,"Workday 29 introduces a new Maintain E-Verify Account Details task (secured to the Set Up: Tenant Setup - HCM domain) that enables you to easily record, maintain, and retrieve your E-Verify enrollment credentials and point-of-contact associated with your E-Verify integrations.

We also add these new reports (secured to the Set Up: Tenant Setup - HCM domain):
- View E-Verify Account Details that displays enrollment credentials and point-of-contact information for a single integration system.
- E-Verify Account Details that lists IDs and other basic data for all E-Verify integrations in your tenant.",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,Maintain E-Verify Account Details,,Set Up: Tenant Setup - HCM (exisiting),,,,HRCOMPLY-4400,,
21,PR29,WDAY,29,feature release,Workday 29 - International Assignment,"With Workday 29, we provide the ability to process payroll for workers on international assignment in the U.S. and Canada.",USA Payroll,Automatically Available,Get EFW2 Year End Worker Filing Data,"To support year-end tax reporting for workers on International Assignment in the U.S., we update the Get EFW2 Year End Worker Filing Data web service to return the worker address with these new usage types in Box F:
- Home 
- International Assignment",This feature may impact your training materials.,8/18/2017,9/1/2017,,,,,,,,,,PAYWDUSA-15942,,
22,PR29,WDAY,29,feature release,Workday 29 - Composite Reports,"Workday 29 delivers more design options for composite reports, giving you more control and flexibility.

For details, see: Composite Reports What's New Video (https://community.workday.com/articles/314407).",System,Automatically Available,Retaining Logical Sorting,"Workday 29 adds a new Sort prompt on composite reports that enables logical sorting for control fields, making it easier to understand data in your custom reports when you edit or configure a combined data row.",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,OMSBI-31178,,
23,PR29,WDAY,29,feature release,Workday 29 - Workday Open Frame,"Workday complies with Microsoft's browser support policy, simplifying how you interact with Workday across browsers.

For details, see: Workday Open Frame What's New Video (https://community.workday.com/node/314390).",System,Automatically Available,Workday Open Frame,"With Workday 29, we no longer support the Workday Open Frame plugin. 
We recommend switching to a Workday-supported browser to avoid bugs or other issues with the plugin.

For details, see:
- Workday Open Frame (WOF) Retirement in Workday 29 (https://community.workday.com/articles/243419)
- Retired Functionality Reference (https://community.workday.com/node/212079#cas)",This feature may impact your training materials.,8/18/2017,9/9/2017,,,,,,,,,,UIPLAT-8902,,
