recordId,stoylProductRefId,fieldName,businessObjectName,description,fieldSource,fieldType,relatedBusinessObject,defaultPrompts,category,usageType
5001,5a381a8f52c57b32c0343469,Billed Amount,Customer Invoice Line Application,The amount applied to the cost reimbursable transaction line.,Workday Delivered,Currency,,,Amount,Drill Down (Internal)
5002,5a381a8f52c57b32c0343469,Billed Amount in Base Currency,Customer Installment Item,The billed amount for the installment item in the base currency of the company.,Workday Delivered,Currency,,,Amount,Default Areas
5003,5a381a8f52c57b32c0343469,Billed Percent,Contract Line,,Calculated - Report Specific,Numeric,,,Uncategorized,Default Areas
5004,5a381a8f52c57b32c0343469,Billed To Date Amount,Award Abstract,Billed to Date amount returned in the currency of the award.,Workday Delivered,Currency,,,Amount,Default Areas
5005,5a381a8f52c57b32c0343469,Billing Address,Order,Billing address for business document,Workday Delivered,Multi-instance,Address,,Purchase Order,Default Areas
5006,5a381a8f52c57b32c0343469,Billing Address (text),Order,This is the Text Version of the Fully Composed Billing Address for a Business Document,Workday Delivered,Text,,,Address & Phone,Default Areas
5007,5a381a8f52c57b32c0343469,Billing and Revenue Recognition Installment Lines All,Customer Installment Item,All Installment Lines (Billing and Rev Rec) not canceled,Workday Delivered,Multi-instance,Installment Line,,Customer Contract Line,Default Areas
5008,5a381a8f52c57b32c0343469,Billing and Revenue Recognition Installment Lines Completed,Customer Installment Item,All Completed Billing and Revenue Recognition Installment Lines,Workday Delivered,Multi-instance,Installment Line Abstract,,Revenue Recognition,Default Areas
5009,5a381a8f52c57b32c0343469,Billing and Revenue Recognition Installment Lines Scheduled,Customer Installment Item,All Scheduled Billing and Revenue Recognition Installment Lines,Workday Delivered,Multi-instance,Installment Line Abstract,,Revenue Recognition,Default Areas
5010,5a381a8f52c57b32c0343469,Billing Cycle,Billing Schedule,Billing Cycle assigned to the billing schedule.,Workday Delivered,Single instance,Billing Cycle,,Billing,Default Areas
5011,5a381a8f52c57b32c0343469,Billing Cycles,Customer Invoice Document,Billing Cycles that the invoice was created under.,Workday Delivered,Multi-instance,Billing Cycle,,Customer Invoice,Default Areas
5012,5a381a8f52c57b32c0343469,Billing Email Addresses for Payee parm,Payment,The billing email address for the payment.,Workday Delivered,Multi-instance,Internet Email Address,,Payments,Default Areas
5013,5a381a8f52c57b32c0343469,Billing Installment for Installment line,Billing Installment Line,Billing Installment for Installment Line,Workday Delivered,Single instance,Billing Installment,,Billing,Default Areas
5014,5a381a8f52c57b32c0343469,Billing Installment Line,Billing Installment Line,Billing Installment Line Self-Referencing Instance,Workday Delivered,Self referencing instance,Billing Installment Line,,Billing,Default Areas
5015,5a381a8f52c57b32c0343469,Billing Installment Line Has Line Overrides,Billing Installment,Returns true if the billing installment line has overrides.,Workday Delivered,Boolean,,,Billing,Default Areas
5016,5a381a8f52c57b32c0343469,Billing Installment Lines All,Customer Installment Item,All Billing Installment Lines (not canceled),Workday Delivered,Multi-instance,Billing Installment Line,,Revenue Recognition,Default Areas
5017,5a381a8f52c57b32c0343469,Billing Installment Lines Completed,Customer Installment Item,All Completed Billing Installment Lines,Workday Delivered,Multi-instance,Customer Contract Line Invoice Application,,Customer Contract Line,Default Areas
5018,5a381a8f52c57b32c0343469,Billing Installment Lines for Billing Installment,Billing Installment,Contains the installment lines for the billing installment.,Workday Delivered,Multi-instance,Billing Installment Line,,Billing,Default Areas
5019,5a381a8f52c57b32c0343469,Billing Installment Lines Scheduled,Customer Installment Item,Contains the billing installment lines scheduled.,Workday Delivered,Multi-instance,Billing Installment Line,,Customer Contract Line,Default Areas
5020,5a381a8f52c57b32c0343469,Billing Installment Quarter,Billing Installment Line,,Calculated - Report Specific,Single instance,Date Period,,Uncategorized,Default Areas
5021,5a381a8f52c57b32c0343469,Billing Installments,Customer Invoice Document,The Billing Installment associated with the Customer Invoice Document.,Workday Delivered,Multi-instance,Billing Installment,,Customer Invoice,Default Areas
5022,5a381a8f52c57b32c0343469,Billing Installments for Billable Project Filter,Billing Installment,,Workday Delivered,Multi-instance,Project,Billable Projects,Uncategorized,Data Source Filter (Internal)
5023,5a381a8f52c57b32c0343469,Billing Installments for Schedule,Billing Schedule,Contains the billing installments for the schedule.,Workday Delivered,Multi-instance,Billing Installment,,Billing,Default Areas
5024,5a381a8f52c57b32c0343469,Billing Limit,Award Abstract,"The billing limit for the award returned in the currency of the award.  This amount is the limit for the total amount that can be billed for cost-reimbursable transactions against the award, which is either the Authorized Amount for the Award or the Billing Limit Override if it is specified.",Workday Delivered,Currency,,,Amount,Default Areas
5025,5a381a8f52c57b32c0343469,Billing Limit at Draw Time,Letter of Credit Draw Down Line,"The billing limit (either the billing limit override, if one exists on the award, or the authorized amount on the award) at draw time returned in the currency of the referencing Letter of Credit.  This amount is from the effective award at the time of draw.",Workday Delivered,Currency,,,Amount,Default Areas
5026,5a381a8f52c57b32c0343469,Billing Limit for Award Billing Schedule,Billing Schedule,The billing limit assigned to an award billing schedule.,Workday Delivered,Currency,,,Amount,Default Areas
5027,5a381a8f52c57b32c0343469,Billing Limit Override,Award Abstract,The billing limit override for the award returned in the currency of the award.  This amount is used to limit the total amount that can be billed for cost-reimbursable transactions against the award.,Workday Delivered,Currency,,,Amount,Default Areas
5028,5a381a8f52c57b32c0343469,Billing Method,Billing Schedule,Billing Method used by Schedule,Workday Delivered,Single instance,Schedule Distribution Method,,Billing,Default Areas
5029,5a381a8f52c57b32c0343469,Billing Notes,Customer Contract Abstract,The billing notes for the customer contract.,Workday Delivered,Rich Text,,,Description & Memos,Default Areas
5030,5a381a8f52c57b32c0343469,Billing Notes,Award Abstract,The award billing notes.,Workday Delivered,Rich Text,,,Description & Memos,Default Areas
5031,5a381a8f52c57b32c0343469,Billing Rate,Project Budget Calculation Line,"The billing rate of the project role assigned to the project budget line represented in the contract billing rate sheet currency, can differ from the default billing rate.",Workday Delivered,Currency,,,Amount,Default Areas
5032,5a381a8f52c57b32c0343469,Billing Rate Application,Billing Rate Application,Returns referenced Billing Rate Application,Workday Delivered,Self referencing instance,Billing Rate Application,,Reference,Default Areas
5033,5a381a8f52c57b32c0343469,Billing Rate Currency,Project Budget Calculation Line,"Currency used per the contract for a given Project Budget Calculation Line, can differ from the default billing rate.",Workday Delivered,Single instance,Currency,,Amount,Default Areas
5034,5a381a8f52c57b32c0343469,Billing Rate Rule Application,Billable Transaction,The billing rate application for this transaction.,Workday Delivered,Multi-instance,Billing Rate Application,,Billing,Default Areas
5035,5a381a8f52c57b32c0343469,Billing Rate Rule Application,Customer Invoice Line,The billing rate application for a transaction. You can see the breakdown of a billing rate application by the customer invoice line.,Workday Delivered,Multi-instance,Billing Rate Application,,Reference,Default Areas
5036,5a381a8f52c57b32c0343469,Billing Rate Rule Break,Billing Rate Rule Break,Identifies the billing rate rule break and allows you to drill into the details and access related actions.,Workday Delivered,Self referencing instance,Billing Rate Rule Break,,Billing Rate Rule Break,Default Areas
5037,5a381a8f52c57b32c0343469,Billing Rate Rule Breaks,Usage Billing Rate,Contains the billing rate rule breaks for the usage billing rate.,Workday Delivered,Multi-instance,Billing Rate Rule Break,,Reference,Default Areas
5038,5a381a8f52c57b32c0343469,Billing Rate Rule Max Tier Rate,Usage Billing Rate,The max tier rate for the usage billing rate.,Workday Delivered,Currency,,,Amount,Default Areas
5039,5a381a8f52c57b32c0343469,Billing Rate Rule Minimum Amount,Usage Billing Rate,The minimum amount of the usage billing rate.,Workday Delivered,Currency,,,Amount,Default Areas
5040,5a381a8f52c57b32c0343469,Billing Rate Rule Minimum Count,Usage Billing Rate,The minimum count of the usage billing rate.,Workday Delivered,Numeric,,,Count,Default Areas
5041,5a381a8f52c57b32c0343469,Billing Rate Rule Name,Usage Based Transaction,The name of the Billing Rate Rule.,Workday Delivered,Text,,,Name or Identifier,Default Areas
5042,5a381a8f52c57b32c0343469,Billing Rate Rule Notes,Usage Billing Rate,The notes of the usage billing rate.,Workday Delivered,Rich Text,,,Description & Memos,Default Areas
5043,5a381a8f52c57b32c0343469,Billing Rate Rule Reset Frequency,Usage Billing Rate,The reset frequency of the usage billing rate.,Workday Delivered,Multi-instance,Frequency Behavior,,Reference,Default Areas
5044,5a381a8f52c57b32c0343469,Billing Rate Rule Reset Start Date,Usage Billing Rate,The reset start date of the usage billing rate.,Workday Delivered,Date,,,Date or Time Period,Default Areas
5045,5a381a8f52c57b32c0343469,Billing Rate Rule Unit of Measure,Usage Billing Rate,The unit of measure of the usage billing rate.,Workday Delivered,Multi-instance,Unit of Measure,,Reference,Default Areas
5046,5a381a8f52c57b32c0343469,Billing Rate Rule Usage Method,Usage Billing Rate,The usage method of the usage billing rate.,Workday Delivered,Single instance,Billing Rate Rule Type,,Reference,Default Areas
5047,5a381a8f52c57b32c0343469,Billing Recommendation,Worker Time,"Returns the billing recommendation indicated by the Do Not Bill check box on the time block: ""Bill"", ""Do Not Bill"", or null if it doesn't apply.",Workday Delivered,Single instance,Time Tracking Set Up Option,,"Reported Time

Time Block

Time Clock Event",Default Areas
5048,5a381a8f52c57b32c0343469,Billings,Journal Line,,Calculated,Text,,,Uncategorized,Default Areas
5049,5a381a8f52c57b32c0343469,Billing Schedule,Customer Installment Item,Billing Schedule for Installment Item,Workday Delivered,Single instance,Billing Schedule,,Contract Line,Default Areas
5050,5a381a8f52c57b32c0343469,Billing Schedule,Award Historical Cumulative Line,Returns the Billing Schedule associated with the Grant on the Award Historical Cumulative Line.,Workday Delivered,Multi-instance,Billing Schedule,,Billing,Default Areas
5051,5a381a8f52c57b32c0343469,Billing Schedule,Award Task,The billing schedule of an associated award line.,Workday Delivered,Single instance,Billing Schedule,,Billing,Default Areas
5052,5a381a8f52c57b32c0343469,Billing Schedule,Journal Line,The billing schedule of an associated award line.,Workday Delivered,Single instance,Billing Schedule,,Billing,Default Areas
5053,5a381a8f52c57b32c0343469,Billing Schedule,Plan,Contains billing schedule of an associated award.,Workday Delivered,Multi-instance,Billing Schedule,,Billing,Default Areas
5054,5a381a8f52c57b32c0343469,Billing Schedule Event,Billing Schedule,Contains the schedule events for the billing schedule.,Workday Delivered,Multi-instance,Billing Schedule Event,,Billing,Default Areas
5055,5a381a8f52c57b32c0343469,Billing Schedule for Installment Line,Billing Installment Line,Billing Installment Line Item Description Override,Workday Delivered,Single instance,Billing Schedule,,Billing,Default Areas
5056,5a381a8f52c57b32c0343469,Billing Schedule On Hold,Contract Line,True if the billing schedule tied to the contract line is on hold.,Workday Delivered,Boolean,,,Status,Default Areas
5057,5a381a8f52c57b32c0343469,Billing Schedules,Receivable Contract Abstract,Contains all billing schedules associated with any lines.,Workday Delivered,Multi-instance,Billing Schedule,,Billing,Default Areas
5058,5a381a8f52c57b32c0343469,Billing Schedules,All Projects,Billing Schedules tied to the Project.,Workday Delivered,Multi-instance,Billing Schedule,,Billing,Default Areas
5059,5a381a8f52c57b32c0343469,Billing Schedules,Customer Invoice Document,Billing Schedule that generated the invoice.,Workday Delivered,Multi-instance,Billing Schedule,,Customer Invoice,Default Areas
5060,5a381a8f52c57b32c0343469,Billing Schedule Status,Contract Line,Status of the Billing Schedule tied to the Customer Contract Line.,Workday Delivered,Single instance,Document Status,,Status,Default Areas
5061,5a381a8f52c57b32c0343469,Billing Schedule Templates,Customer Contract Abstract,Billing Schedule Templates for Customer Contract,Workday Delivered,Multi-instance,Billing Schedule Template,,Customer Contract,Default Areas
5062,5a381a8f52c57b32c0343469,Billing Type of Transaction,Billing Schedule,Identifies whether Billing Schedule has a billing type of Transaction versus Installment.,Workday Delivered,Boolean,,,Billing,Default Areas
5063,5a381a8f52c57b32c0343469,Bill Of Lading,Advanced Ship Notice,The Bill Of Lading for the Advanced Ship Notice document.,Workday Delivered,Text,,,Advanced Ship Notice,Default Areas
5064,5a381a8f52c57b32c0343469,Bill of Lading Quantity,Advanced Ship Notice,Bill of Lading Quantity on Advanced Ship Notice,Workday Delivered,Numeric,,,Advanced Ship Notice,Default Areas
5065,5a381a8f52c57b32c0343469,Bill-To Address,Customer,The bill to address for the customer or sponsor.,Workday Delivered,Text,,,Address & Phone,Default Areas
